TSNE1,TSNE2,Cell_Type
-0.87646335,1.5268,Bone_Marrow_CD34
-1.5309469,1.5328382,Bone_Marrow_CD34
-1.5036039,1.4691857,Bone_Marrow_CD34
-1.6730807,0.93153614,Bone_Marrow_CD34
-1.7827926,0.8434792,Bone_Marrow_CD34
-1.693233,0.829756,Bone_Marrow_CD34
-6.500007,-0.39286575,Bone_Marrow_CD34
-1.247851,1.4155278,Bone_Marrow_CD34
-2.8015475,-1.4416701,Bone_Marrow
-1.2302052,-1.1996033,Bone_Marrow
-1.3024795,-1.3777335,Bone_Marrow
-1.3497757,-1.1947405,Bone_Marrow
-2.3577573,-0.77103436,Bone_Marrow
-2.1035,-0.96340585,Bone_Marrow
-2.1945438,-0.7970262,Bone_Marrow
-2.6182783,-1.0948937,Bone_Marrow
-1.7591231,-0.99558026,Bone_Marrow
-1.8089988,-1.1805179,Bone_Marrow
-3.7189126,0.023338057,AML
-0.6546815,-1.9037343,AML
0.4647718,0.6960738,AML
-4.3050585,-1.582261,AML
-4.3347983,0.007966731,AML
-6.0325537,-1.5411098,AML
0.9933018,1.5791495,AML
-0.114482835,2.333432,AML
-5.088817,-2.3486066,AML
-5.740408,-1.235772,AML
-0.25546208,1.0575866,AML
0.20663337,0.27304307,AML
-3.59115,0.46454167,AML
-4.258148,-0.40326807,AML
-4.2763796,0.3664571,AML
-4.765999,-0.065204784,AML
0.49925923,0.28094733,AML
-5.8006268,-0.6942634,AML
-5.5129137,-1.6861696,AML
-4.578917,-1.8071412,AML
0.04486351,2.8699226,AML
-4.0198116,1.1414676,AML
-1.7277522,3.4211063,AML
-5.6089683,0.60039455,AML
-5.5119214,0.21044472,AML
-2.8418627,0.47000653,AML
-3.075173,-3.7097967,PB
-2.9198525,-3.6842558,PB
-2.0981367,-3.2754629,PB
-3.6914456,-4.6181197,PB
-4.1081586,-3.4626539,PB
-3.4562783,-3.358557,PB
-2.02092,-3.4486992,PB
-1.5914484,-3.498307,PB
-2.699127,-3.5760102,PB
-3.342782,-3.4522793,PB
-3.605385,1.8804624,PBSC_CD34
-2.9394577,1.3259426,PBSC_CD34
-2.0640275,2.3981264,PBSC_CD34
-2.609715,3.03173,PBSC_CD34
-2.742693,1.8630952,PBSC_CD34
-2.2912462,2.5228117,PBSC_CD34
-2.3893151,2.095859,PBSC_CD34
-3.2168252,1.9441141,PBSC_CD34
-3.0675228,1.8242582,PBSC_CD34
-3.206438,1.2905227,PBSC_CD34
